dia;Mes;prec mm;Data
20;Junho;8,2;2017-06-20
21;Junho;0;2017-06-21
22;Junho;0;2017-06-22
23;Junho;0;2017-06-23
24;Junho;0;2017-06-24
25;Junho;0;2017-06-25
26;Junho;0;2017-06-26
27;Junho;0;2017-06-27
28;Junho;0;2017-06-28
29;Junho;0;2017-06-29
30;Junho;0;2017-06-30
